Date : 2021-11-09 14:31:43
Directory : /Users/ca_admin/Documents/Development/Bouldr_App
Total : 53 files,  2821 codes, 316 comments, 336 blanks, all 3473 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         27 |      2,197 |        177 |        262 |      2,636 |
| JSON       |          5 |        230 |          0 |          3 |        233 |
| XML        |          9 |        137 |         40 |         11 |        188 |
| Groovy     |          3 |         99 |          4 |         23 |        126 |
| HTML       |          1 |         79 |         17 |          6 |        102 |
| YAML       |          2 |         44 |         77 |         18 |        139 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          1 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         53 |      2,821 |        316 |        336 |      3,473 |
| android                                                                                                        |         13 |        231 |         43 |         33 |        307 |
| android/app                                                                                                    |          9 |        178 |         39 |         22 |        239 |
| android/app/src                                                                                                |          7 |         76 |         38 |          9 |        123 |
| android/app/src/debug                                                                                          |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                           |          5 |         68 |         32 |          7 |        107 |
| android/app/src/main/res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                        |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                         |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| ios                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios/Runner/Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |         25 |      2,174 |        167 |        250 |      2,591 |
| lib/models                                                                                                     |          6 |        213 |         22 |         65 |        300 |
| lib/pages                                                                                                      |          8 |      1,109 |         55 |        107 |      1,271 |
| lib/repository                                                                                                 |          1 |         85 |          0 |         11 |         96 |
| lib/utils                                                                                                      |          2 |         18 |          2 |          9 |         29 |
| lib/widgets                                                                                                    |          7 |        726 |         86 |         54 |        866 |
| test                                                                                                           |          2 |         23 |         10 |         12 |         45 |
| web                                                                                                            |          2 |        114 |         17 |          7 |        138 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/ca_admin/Documents/Development/Bouldr_App/README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| /Users/ca_admin/Documents/Development/Bouldr_App/analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/build.gradle                                      | Groovy     |         55 |          1 |         13 |         69 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/google-services.json                              | JSON       |         47 |          0 |          0 |         47 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/debug/AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/main/AndroidManifest.xml                      | XML        |         42 |          0 |          1 |         43 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/main/res/drawable-v21/launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/main/res/drawable/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/main/res/values-night/styles.xml              | XML        |          9 |          9 |          1 |         19 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/main/res/values/styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/app/src/profile/AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/build.gradle                                          | Groovy     |         36 |          3 |          6 |         45 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/gradle.properties                                     | Properties |          4 |          0 |          0 |          4 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/gradle/wrapper/gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| /Users/ca_admin/Documents/Development/Bouldr_App/android/settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| /Users/ca_admin/Documents/Development/Bouldr_App/assets/config.json                                            | JSON       |          3 |          0 |          0 |          3 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON       |         23 |          0 |          1 |         24 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown   |          3 |          0 |          2 |          5 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/Base.lproj/Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| /Users/ca_admin/Documents/Development/Bouldr_App/ios/Runner/Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/main.dart                                                 | Dart       |         23 |          2 |          4 |         29 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/models/area.dart                                          | Dart       |         36 |          5 |         12 |         53 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/models/grade.dart                                         | Dart       |         58 |          0 |          8 |         66 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/models/route.dart                                         | Dart       |         33 |          6 |         14 |         53 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/models/section.dart                                       | Dart       |         32 |          6 |         14 |         52 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/models/venue.dart                                         | Dart       |         49 |          5 |         16 |         70 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/models/verification.dart                                  | Dart       |          5 |          0 |          1 |          6 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/add_route_1.dart                                    | Dart       |        127 |          1 |          6 |        134 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/add_route_2.dart                                    | Dart       |        336 |         27 |         35 |        398 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/add_section.dart                                    | Dart       |        181 |         18 |         22 |        221 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/area_page.dart                                      | Dart       |         84 |          1 |          9 |         94 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/home_page.dart                                      | Dart       |        120 |          3 |          8 |        131 |
